symbol,date,entry_time,exit_time,action,entry,stop_loss,target,range_width,rr,shares,gross_pnl,commission,net_pnl,exit_reason,capital_after
QQQ,2026-03-31,2026-03-31 10:33:00-04:00,2026-03-31 13:53:00-04:00,LONG,569.06,564.0,578.26,4.6,1.82,200,1032.0,2.0,1030.0,window_close,102554.59
QQQ,2026-04-01,2026-04-01 10:22:00-04:00,2026-04-01 13:42:00-04:00,LONG,584.2392,580.2397,591.4512,3.606,1.8,256,717.0,2.56,714.44,window_close,103269.04
SPY,2026-04-01,2026-04-01 10:49:00-04:00,2026-04-01 14:09:00-04:00,LONG,656.19,652.8475,662.29,3.05,1.82,301,-30.16,3.01,-33.17,window_close,100608.54
QQQ,2026-04-02,2026-04-02 10:06:00-04:00,2026-04-02 13:26:00-04:00,LONG,578.27,571.6445,589.29,5.51,1.66,155,818.4,1.55,816.85,window_close,104085.89
SPY,2026-04-02,2026-04-02 10:06:00-04:00,2026-04-02 13:26:00-04:00,LONG,650.12,644.871,659.68,4.78,1.82,191,863.32,1.91,861.41,window_close,101469.95
SPY,2026-04-06,2026-04-06 10:21:00-04:00,2026-04-06 13:41:00-04:00,LONG,658.885,655.3685,664.945,3.03,1.72,288,-565.92,2.88,-568.8,window_close,100901.15
QQQ,2026-04-06,2026-04-06 13:12:00-04:00,2026-04-06 16:32:00-04:00,SHORT,585.22,589.867,577.34,3.94,1.7,223,-651.16,2.23,-653.39,window_close,103432.5
SPY,2026-04-07,2026-04-07 10:00:00-04:00,2026-04-07 13:20:00-04:00,SHORT,653.8,657.7585,646.66,3.57,1.8,254,-467.36,2.54,-469.9,window_close,100431.25
QQQ,2026-04-07,2026-04-07 10:00:00-04:00,2026-04-07 13:20:00-04:00,SHORT,582.31,587.2805,573.4902,4.4099,1.77,208,-358.8,2.08,-360.88,window_close,103071.62
QQQ,2026-04-08,2026-04-08 10:08:00-04:00,2026-04-08 13:28:00-04:00,SHORT,605.27,610.1245,596.29,4.49,1.85,212,-160.06,2.12,-162.18,window_close,102909.44
SPY,2026-04-08,2026-04-08 10:31:00-04:00,2026-04-08 13:51:00-04:00,SHORT,673.8863,677.2355,667.6663,3.11,1.86,299,-521.37,2.99,-524.36,window_close,99906.89
QQQ,2026-04-09,2026-04-09 10:15:00-04:00,2026-04-09 11:32:00-04:00,SHORT,603.9,606.7975,598.8,2.55,1.76,355,-1035.71,3.55,-1039.26,stop_loss,101870.18
SPY,2026-04-09,2026-04-09 10:16:00-04:00,2026-04-09 11:15:00-04:00,SHORT,674.3975,675.8579,671.6777,1.3599,1.86,684,-1012.59,6.84,-1019.43,stop_loss,98887.46
QQQ,2026-04-10,2026-04-10 10:01:00-04:00,2026-04-10 10:34:00-04:00,SHORT,611.12,613.2035,607.38,1.87,1.8,488,-1026.51,4.88,-1031.39,stop_loss,100838.79
SPY,2026-04-10,2026-04-10 10:01:00-04:00,2026-04-10 11:24:00-04:00,SHORT,680.07,682.018,676.55,1.76,1.81,507,-997.78,5.07,-1002.85,stop_loss,97884.61
QQQ,2026-04-13,2026-04-13 10:00:00-04:00,2026-04-13 13:20:00-04:00,LONG,611.99,607.9295,619.21,3.61,1.78,248,602.66,2.48,600.18,window_close,101438.97
SPY,2026-04-13,2026-04-13 10:00:00-04:00,2026-04-13 13:20:00-04:00,LONG,679.93,676.4225,686.23,3.15,1.8,279,697.5,2.79,694.71,window_close,98579.32
SPY,2026-04-14,2026-04-14 10:06:00-04:00,2026-04-14 13:26:00-04:00,LONG,689.9751,687.5448,694.5851,2.305,1.9,405,1504.58,4.05,1500.53,window_close,100079.85
QQQ,2026-04-14,2026-04-14 10:13:00-04:00,2026-04-14 13:33:00-04:00,LONG,622.84,619.967,628.1598,2.6599,1.85,353,1595.56,3.53,1592.03,window_close,103031.0
QQQ,2026-04-15,2026-04-15 10:02:00-04:00,2026-04-15 12:20:00-04:00,LONG,630.33,628.0965,634.47,2.07,1.85,461,1908.54,4.61,1903.93,target,104934.93
SPY,2026-04-15,2026-04-15 10:22:00-04:00,2026-04-15 13:42:00-04:00,LONG,696.37,694.0925,700.67,2.15,1.89,439,439.0,4.39,434.61,window_close,100514.46
QQQ,2026-04-16,2026-04-16 11:09:00-04:00,2026-04-16 14:29:00-04:00,LONG,639.82,635.0387,648.47,4.325,1.81,219,-490.54,2.19,-492.73,window_close,104442.21
SPY,2026-04-16,2026-04-16 11:11:00-04:00,2026-04-16 14:31:00-04:00,LONG,701.32,698.3915,706.86,2.77,1.89,343,-403.03,3.43,-406.46,window_close,100108.0
QQQ,2026-04-17,2026-04-17 10:00:00-04:00,2026-04-17 13:20:00-04:00,LONG,646.87,643.9405,652.05,2.59,1.77,356,391.64,3.56,388.08,window_close,104830.28
SPY,2026-04-17,2026-04-17 10:00:00-04:00,2026-04-17 13:20:00-04:00,LONG,708.55,705.63,713.75,2.6,1.78,342,653.22,3.42,649.8,window_close,100757.8
QQQ,2026-04-20,2026-04-20 10:40:00-04:00,2026-04-20 14:00:00-04:00,SHORT,646.0,648.894,640.64,2.68,1.85,362,25.34,3.62,21.72,window_close,104852.0
SPY,2026-04-20,2026-04-20 10:41:00-04:00,2026-04-20 14:01:00-04:00,SHORT,708.17,709.994,704.81,1.68,1.84,552,303.6,5.52,298.08,window_close,101055.88
QQQ,2026-04-21,2026-04-21 10:00:00-04:00,2026-04-21 11:01:00-04:00,LONG,649.24,645.8455,655.42,3.09,1.82,308,-1051.67,3.08,-1054.75,stop_loss,103797.25
SPY,2026-04-21,2026-04-21 10:01:00-04:00,2026-04-21 10:57:00-04:00,LONG,710.97,708.6443,715.2,2.115,1.82,434,-1018.03,4.34,-1022.37,stop_loss,100033.51
SPY,2026-04-22,2026-04-22 10:00:00-04:00,2026-04-22 13:20:00-04:00,LONG,709.75,708.1565,712.29,1.27,1.59,627,94.05,6.27,87.78,window_close,100121.29
QQQ,2026-04-22,2026-04-22 10:01:00-04:00,2026-04-22 13:21:00-04:00,LONG,650.53,648.423,654.41,1.94,1.84,492,1660.5,4.92,1655.58,window_close,105452.83
SPY,2026-04-23,2026-04-23 10:52:00-04:00,2026-04-23 13:04:00-04:00,LONG,711.3609,709.1168,715.4909,2.065,1.84,446,-1009.79,4.46,-1014.25,stop_loss,99107.04
QQQ,2026-04-23,2026-04-23 10:57:00-04:00,2026-04-23 13:09:00-04:00,LONG,655.6801,652.1445,662.3001,3.31,1.87,298,-1059.57,2.98,-1062.55,stop_loss,104390.29
QQQ,2026-04-24,2026-04-24 10:12:00-04:00,2026-04-24 13:32:00-04:00,LONG,659.73,656.3719,666.0598,3.1649,1.88,310,872.96,3.1,869.86,window_close,105260.15
SPY,2026-04-24,2026-04-24 10:46:00-04:00,2026-04-24 14:06:00-04:00,LONG,711.34,708.9025,715.64,2.15,1.76,406,828.24,4.06,824.18,window_close,99931.22
SPY,2026-04-27,2026-04-27 11:21:00-04:00,2026-04-27 13:23:00-04:00,SHORT,712.58,714.4998,708.9614,1.8093,1.88,520,-1008.7,5.2,-1013.9,stop_loss,98917.32
QQQ,2026-04-27,2026-04-27 13:33:00-04:00,2026-04-27 16:55:00-04:00,LONG,664.01,660.527,670.53,3.26,1.87,302,-84.56,3.02,-87.58,window_close,105172.57
SPY,2026-04-28,2026-04-28 10:35:00-04:00,2026-04-28 13:55:00-04:00,SHORT,710.59,712.985,706.39,2.1,1.75,413,-169.33,4.13,-173.46,window_close,98743.86
QQQ,2026-04-28,2026-04-28 10:38:00-04:00,2026-04-28 13:58:00-04:00,SHORT,654.96,659.8582,646.23,4.365,1.78,214,-430.33,2.14,-432.47,window_close,104740.09
SPY,2026-04-29,2026-04-29 10:15:00-04:00,2026-04-29 11:54:00-04:00,LONG,711.2,709.5835,714.26,1.53,1.89,610,-998.27,6.1,-1004.37,stop_loss,97739.5
QQQ,2026-04-29,2026-04-29 10:24:00-04:00,2026-04-29 13:44:00-04:00,LONG,659.465,656.4559,664.8252,2.6801,1.78,348,-210.54,3.48,-214.02,window_close,104526.07
SPY,2026-04-30,2026-04-30 10:16:00-04:00,2026-04-30 11:32:00-04:00,SHORT,710.56,714.9275,702.66,3.95,1.81,223,-978.41,2.23,-980.64,stop_loss,96758.86
SPY,2026-05-01,2026-05-01 10:00:00-04:00,2026-05-01 13:20:00-04:00,LONG,724.26,720.565,731.26,3.5,1.89,261,-417.6,2.61,-420.21,window_close,96338.65
QQQ,2026-05-01,2026-05-01 10:01:00-04:00,2026-05-01 13:21:00-04:00,LONG,675.265,668.492,687.585,6.16,1.82,154,-13.09,1.54,-14.63,window_close,104511.44
QQQ,2026-05-04,2026-05-04 10:12:00-04:00,2026-05-04 11:19:00-04:00,LONG,675.83,673.444,680.07,2.12,1.78,438,-1053.83,4.38,-1058.21,stop_loss,103453.24
SPY,2026-05-04,2026-05-04 10:12:00-04:00,2026-05-04 11:19:00-04:00,LONG,721.085,719.1725,724.185,1.55,1.62,503,-972.05,5.03,-977.08,stop_loss,95361.57
SPY,2026-05-05,2026-05-05 10:06:00-04:00,2026-05-05 13:26:00-04:00,LONG,722.8483,721.4248,725.4487,1.3002,1.83,669,603.3,6.69,596.61,window_close,95958.18
QQQ,2026-05-05,2026-05-05 10:25:00-04:00,2026-05-05 13:45:00-04:00,LONG,681.22,677.3395,688.04,3.41,1.76,266,164.92,2.66,162.26,window_close,103615.5
SPY,2026-05-06,2026-05-06 10:00:00-04:00,2026-05-06 13:20:00-04:00,LONG,729.83,727.721,733.79,1.98,1.88,454,799.04,4.54,794.5,window_close,96752.68
QQQ,2026-05-06,2026-05-06 10:40:00-04:00,2026-05-06 14:00:00-04:00,LONG,690.86,686.278,698.94,4.04,1.76,226,433.92,2.26,431.66,window_close,104047.16
QQQ,2026-05-07,2026-05-07 10:04:00-04:00,2026-05-07 12:12:00-04:00,LONG,697.94,695.4245,702.56,2.31,1.84,413,-1047.16,4.13,-1051.29,stop_loss,102995.86
SPY,2026-05-07,2026-05-07 10:39:00-04:00,2026-05-07 12:00:00-04:00,LONG,735.18,733.471,738.34,1.58,1.85,566,-978.61,5.66,-984.27,stop_loss,95768.41
QQQ,2026-05-08,2026-05-08 10:02:00-04:00,2026-05-08 13:22:00-04:00,LONG,705.74,699.203,717.62,5.94,1.82,157,676.67,1.57,675.1,window_close,103670.96
SPY,2026-05-08,2026-05-08 10:02:00-04:00,2026-05-08 13:22:00-04:00,LONG,736.75,734.4655,740.93,2.09,1.83,419,372.91,4.19,368.72,window_close,96137.13
SPY,2026-05-11,2026-05-11 10:15:00-04:00,2026-05-11 13:35:00-04:00,LONG,739.145,736.3155,744.525,2.69,1.9,339,337.31,3.39,333.92,window_close,96471.04
QQQ,2026-05-11,2026-05-11 10:31:00-04:00,2026-05-11 11:50:00-04:00,SHORT,709.25,713.6865,701.79,3.73,1.68,233,-1038.36,2.33,-1040.69,stop_loss,102630.27
SPY,2026-05-12,2026-05-12 10:00:00-04:00,2026-05-12 13:20:00-04:00,SHORT,734.82,737.338,730.1,2.36,1.87,383,204.91,3.83,201.08,window_close,96672.12
QQQ,2026-05-12,2026-05-12 10:03:00-04:00,2026-05-12 13:23:00-04:00,SHORT,705.47,710.405,696.47,4.5,1.82,207,917.22,2.07,915.15,window_close,103545.42
SPY,2026-05-13,2026-05-13 10:28:00-04:00,2026-05-13 13:48:00-04:00,LONG,738.5,735.32,744.5,3.0,1.89,304,1231.2,3.04,1228.16,window_close,97900.28
QQQ,2026-05-13,2026-05-13 10:52:00-04:00,2026-05-13 14:12:00-04:00,LONG,710.09,704.573,720.37,5.14,1.86,187,941.54,1.87,939.67,window_close,104485.09
SPY,2026-05-14,2026-05-14 10:18:00-04:00,2026-05-14 13:38:00-04:00,LONG,746.005,743.4437,750.655,2.325,1.82,382,624.57,3.82,620.75,window_close,98521.03
QQQ,2026-05-14,2026-05-14 10:44:00-04:00,2026-05-14 14:04:00-04:00,LONG,719.7,713.9465,730.64,5.47,1.9,181,-139.37,1.81,-141.18,window_close,104343.91
QQQ,2026-05-15,2026-05-15 10:14:00-04:00,2026-05-15 13:34:00-04:00,LONG,710.68,705.3065,720.42,4.87,1.81,194,649.9,1.94,647.96,window_close,104991.87
SPY,2026-05-15,2026-05-15 10:18:00-04:00,2026-05-15 13:38:00-04:00,LONG,742.0501,737.7585,750.1101,4.03,1.88,229,107.61,2.29,105.32,window_close,98626.35
QQQ,2026-05-18,2026-05-18 10:30:00-04:00,2026-05-18 13:50:00-04:00,SHORT,706.48,712.34,695.68,5.4,1.84,179,558.48,1.79,556.69,window_close,105548.56
SPY,2026-05-18,2026-05-18 10:34:00-04:00,2026-05-18 13:54:00-04:00,SHORT,737.43,741.6078,729.72,3.855,1.85,236,103.84,2.36,101.48,window_close,98727.83
QQQ,2026-05-19,2026-05-19 10:05:00-04:00,2026-05-19 13:15:00-04:00,SHORT,699.47,705.396,688.83,5.32,1.8,178,-1058.39,1.78,-1060.17,stop_loss,104488.39
